,Simulation,NSubs,index,pvalue_cdiscr,pvalue_manova,pvalue_dcorr
85,No Effect,16,85,0.23276723276723277,0.8581418581418582,0.25074925074925075
86,No Effect,16,86,0.5394605394605395,0.2817182817182817,0.34965034965034963
87,No Effect,16,87,0.06893106893106893,0.7282717282717283,0.10789210789210789
88,No Effect,16,88,0.8701298701298701,0.2867132867132867,0.8001998001998002
89,No Effect,16,89,0.4405594405594406,0.8691308691308691,0.17782217782217782
90,No Effect,16,90,0.19480519480519481,0.7192807192807192,0.7562437562437563
91,No Effect,16,91,0.6053946053946054,0.16283716283716285,0.5494505494505495
92,No Effect,16,92,0.7042957042957043,0.24375624375624375,0.5134865134865135
93,No Effect,16,93,0.7802197802197802,0.2947052947052947,0.9000999000999002
94,No Effect,16,94,0.8091908091908092,0.6383616383616384,0.8261738261738262
95,No Effect,16,95,0.7152847152847153,0.0999000999000999,0.9140859140859141
96,No Effect,16,96,0.24675324675324675,0.3386613386613387,0.5854145854145855
97,No Effect,16,97,0.3516483516483517,0.3516483516483517,0.6463536463536463
98,No Effect,16,98,0.14285714285714285,0.5624375624375625,0.4245754245754246
99,No Effect,16,99,0.8221778221778222,0.14485514485514486,0.7142857142857143
100,No Effect,24,0,0.2217782217782218,0.4905094905094905,0.3436563436563437
101,No Effect,24,1,0.5824175824175825,0.1038961038961039,0.8211788211788211
102,No Effect,24,2,0.15184815184815184,0.6563436563436563,0.5944055944055944
103,No Effect,24,3,0.965034965034965,0.4865134865134865,0.9600399600399601
104,No Effect,24,4,0.7982017982017982,0.7332667332667333,0.6763236763236763
105,No Effect,24,5,0.987012987012987,0.36563436563436563,0.913086913086913
106,No Effect,24,6,0.4385614385614386,0.3726273726273726,0.6233766233766234
107,No Effect,24,7,0.5154845154845155,0.2807192807192807,0.5204795204795205
108,No Effect,24,8,0.8411588411588412,0.7662337662337663,0.3776223776223776
109,No Effect,24,9,0.47652347652347654,0.6913086913086913,0.5734265734265734
110,No Effect,24,10,0.37962037962037964,0.2907092907092907,0.44455544455544455
111,No Effect,24,11,0.1838161838161838,0.5914085914085914,0.5914085914085914
112,No Effect,24,12,0.6173826173826173,0.28771228771228774,0.5504495504495505
113,No Effect,24,13,0.3276723276723277,0.24475524475524477,0.5784215784215784
114,No Effect,24,14,0.07992007992007992,0.7472527472527473,0.35664335664335667
115,No Effect,24,15,0.05194805194805195,0.22577422577422576,0.5114885114885115
116,No Effect,24,16,0.030969030969030968,0.971028971028971,0.11388611388611389
117,No Effect,24,17,0.01898101898101898,0.971028971028971,0.028971028971028972
118,No Effect,24,18,0.6963036963036963,0.36863136863136864,0.7902097902097902
119,No Effect,24,19,0.7042957042957043,0.7032967032967034,0.6583416583416584
120,No Effect,24,20,0.3146853146853147,0.5924075924075924,0.5024975024975025
121,No Effect,24,21,0.6433566433566433,0.4355644355644356,0.6943056943056943
122,No Effect,24,22,0.6033966033966034,0.6803196803196803,0.1878121878121878
123,No Effect,24,23,0.5744255744255744,0.07492507492507493,0.981018981018981
124,No Effect,24,24,0.7152847152847153,0.6743256743256744,0.5934065934065934
125,No Effect,24,25,0.2897102897102897,0.5914085914085914,0.36063936063936064
126,No Effect,24,26,0.6113886113886113,0.08191808191808192,0.8961038961038961
127,No Effect,24,27,0.17382617382617382,0.36563436563436563,0.2967032967032967
128,No Effect,24,28,0.061938061938061936,0.5884115884115884,0.13586413586413587
129,No Effect,24,29,0.33266733266733267,0.1258741258741259,0.8391608391608392
130,No Effect,24,30,0.2807192807192807,0.7872127872127872,0.2097902097902098
131,No Effect,24,31,0.9400599400599401,0.4305694305694306,0.5454545454545454
132,No Effect,24,32,0.022977022977022976,0.7682317682317682,0.22677322677322678
133,No Effect,24,33,0.26573426573426573,0.8821178821178821,0.3276723276723277
134,No Effect,24,34,0.35664335664335667,0.7802197802197802,0.20279720279720279
135,No Effect,24,35,0.001998001998001998,0.8881118881118881,0.013986013986013986
136,No Effect,24,36,0.988011988011988,0.2997002997002997,0.9600399600399601
137,No Effect,24,37,0.8041958041958042,0.5784215784215784,0.8691308691308691
138,No Effect,24,38,0.11788211788211789,0.7262737262737263,0.18281718281718282
139,No Effect,24,39,0.6723276723276723,0.4155844155844156,0.5554445554445554
140,No Effect,24,40,0.5954045954045954,0.3226773226773227,0.7382617382617382
