,Simulation,NSubs,index,pvalue_cdiscr,pvalue_manova,pvalue_dcorr
160,No Effect,24,60,0.23276723276723277,0.44822808055578367,0.12103068179174387
161,No Effect,24,61,0.04795204795204795,0.008702473858427512,0.006523765643932105
162,No Effect,24,62,0.06893106893106893,0.8763718163877091,0.023344339887408486
163,No Effect,24,63,0.25074925074925075,0.30707382884349277,0.6344482406525274
164,No Effect,24,64,0.5414585414585414,0.40256757243458574,0.2276928731147394
165,No Effect,24,65,0.34265734265734266,0.8451998103657472,0.24440375291040345
166,No Effect,24,66,0.2957042957042957,0.019322699271320576,0.003201387258967674
167,No Effect,24,67,0.2997002997002997,0.18949150778208515,0.07866380468511636
168,No Effect,24,68,0.1978021978021978,0.5610413684115194,0.18968168339705985
169,No Effect,24,69,0.36663336663336665,0.09860439564536896,0.0496010578366988
170,No Effect,24,70,0.44155844155844154,0.07468132574996418,0.029847337932089806
171,No Effect,24,71,0.988011988011988,0.03224871738973578,0.2065489755767563
172,No Effect,24,72,0.25674325674325676,0.05438638487661547,0.020287662500153503
173,No Effect,24,73,0.4925074925074925,0.07601953240988212,0.7158837385214685
174,No Effect,24,74,0.7372627372627373,0.9073359544385762,0.47619934624947513
175,No Effect,24,75,0.4965034965034965,0.32906652010513454,1.0
176,No Effect,24,76,0.43456543456543456,0.13826992049768924,0.07903678648496876
177,No Effect,24,77,0.7982017982017982,0.5194803437141736,0.3947444723664961
178,No Effect,24,78,0.4305694305694306,0.21462797724063665,0.037137601863294636
179,No Effect,24,79,0.9310689310689311,0.846129128034649,1.0
180,No Effect,24,80,0.5724275724275725,0.0330058220548798,0.010735127931017557
181,No Effect,24,81,0.34765234765234765,0.14331796620459364,0.03628835495757354
182,No Effect,24,82,0.43356643356643354,0.13041641848684857,0.04115948909082267
183,No Effect,24,83,0.016983016983016984,7.960789626198218e-05,0.0005853424830673776
184,No Effect,24,84,0.45354645354645357,0.5627929392691106,0.4453125947762874
185,No Effect,24,85,0.2937062937062937,0.3143120443256542,0.11493996031790353
186,No Effect,24,86,0.7082917082917083,0.4100694112725126,0.19426464642941185
187,No Effect,24,87,0.8891108891108891,0.2754991242908535,0.20300419150118018
188,No Effect,24,88,0.13486513486513488,0.0003188808818838538,0.014537456528892483
189,No Effect,24,89,0.5514485514485514,0.0006804276844894289,0.023122765720298366
190,No Effect,24,90,0.8651348651348651,0.29975232395612306,0.6609769229998748
